"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas","IMCRA 4 Regions","IBRA 7 Regions","Maximum elevation in meters","Minimum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"fef1cdf2-fcda-4996-8987-e1753496fac1","5270c8493dff01768f2fc8da","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr364","ALA species sightings and OzAtlas","","","","","CC-BY","","","673 Sackville Rd, Ebenezer NSW 2756, Australia","-33.51792526245117","150.873779296875","WGS84","-33.51792526245117","150.873779296875","","","Australia","New South Wales","Hawkesbury (C)","","Sydney Basin","","","","","15","Peter Greenaway","2013","10","30","2013-10-30","","","HumanObservation","unknown","","","","true","true"
"fafc2a16-e408-4bb2-8573-1cb87bca373a","K.287030","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-35.17638","150.583","","-35.17638","150.583","","10000.0","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","","Fellenberg, Stephen J.","1992","10","24","1992-10-24","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"fa8066e0-d32e-4b01-b333-c6f8d227a080","K287030","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Jervis Bay Territory","-35.176","150.595","","-35.176","150.595","","","Australia","Australian Capital Territory","Unincorp. Other Territories","","Sydney Basin","","","","","","","1992","10","24","1992-10-24","","","PreservedSpecimen","present","","","","true","true"
"ef6c7130-236c-4679-9c9b-2e1c9add1a6a","K.287018","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-33.800","151.233","","-33.8","151.233","","10000.0","Australia","New South Wales","","","Sydney Basin","","","","","","Bowden, Mrs R J","1962","10","31","1962-10-31","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"c71e5d07-9226-4501-8d8f-d9699cc4c5b0","K.287029","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-35.17638","150.583","","-35.17638","150.583","","1000.0","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","","Fellenberg, S","1992","10","24","1992-10-24","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"949e220e-4eb9-47ef-b195-9d169ce2a9a3","K.287033","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-35.17638","150.583","","-35.17638","150.583","","1000.0","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","","Fellenberg, S","1992","10","24","1992-10-24","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"88e88fe6-f065-4a0c-a72a-5094e7d62532","K287029","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Jervis Bay National Park ACT","-34.986","150.758","","-34.986","150.758","","","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","","","1992","10","24","1992-10-24","","","PreservedSpecimen","present","","","","true","true"
"52462c05-0c60-4035-aa94-ab5a0b247388","K.287032","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","Double Drummer","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co9","Australian Museum Entomology Collection","CC-BY","AM","Entomology","","-35.17638","150.583","","-35.17638","150.583","","1000.0","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","","Fellenberg, S","1992","10","24","1992-10-24","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"39ec9663-bd66-4ab5-9b28-7b5e9e3e5cf4","K287034","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Jervis Bay National Park ACT","-35.4735","149.0124","","-35.4735","149.0124","","","Australia","Australian Capital Territory","Unincorporated ACT","","South Eastern Highlands","","","","","","","1992","10","24","1992-10-24","","","PreservedSpecimen","present","","","","true","true"
"1cc81ff7-a99f-4cdf-8045-d73e77b263ec","K287033","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Jervis Bay Territory","-35.176","150.595","","-35.176","150.595","","","Australia","Australian Capital Territory","Unincorp. Other Territories","","Sydney Basin","","","","","","","1992","10","24","1992-10-24","","","PreservedSpecimen","present","","","","true","true"
